ADDRESS,LATITUDE,LONGITUDE,MAX_FLOOR,PLANNING_AREA,MIN_MRT_DIST,MRT_STATUS,MIN_MRT(OPEN)_DIST,MIN_HAWK_DIST,HAWK_TYPE,HAWK_OWNER,HAWK_NUMBER_OF_STALLS,MIN_PS_DIST,MIN_SS_DIST,MIN_MALL_DIST,cbd_dist,NUM_MRT_WITHIN_1.5KM,NUM_HAWK_WITHIN_1.5KM,NUM_PS_WITHIN_1.5KM,NUM_SS_WITHIN_1.5KM,NUM_MALL_WITHIN_1.5KM
205 marsiling drive,1.444946,103.773484,14,woodlands,1335.1524934874003,open,1335.1524934874003,423.93879431624754,MHC,HDB,164,1228.2837187229375,655.2356337204723,1679.749312911549,19891.25566489896,3,2,1,2,0
506 west coast drive,1.312517,103.760867,12,clementi,390.96759273105715,planned,576.3558136115662,147.16949802472226,HC,HDB,80,378.7760499523083,357.9875622294844,475.20140439000147,10580.387141427474,4,5,4,6,2
267B compassvale link,1.3832,103.897433,17,sengkang,489.33436609871455,open,489.33436609871455,2951.9878710957555,MHC,HDB,186,168.95526247438286,300.88079017262316,1013.5972738810424,12211.338633888294,5,0,12,8,2
521 woodlands drive 14,1.433716,103.793326,12,woodlands,720.8019827847526,open,720.8019827847526,1496.2361961562933,HC,HDB,78,360.1123582371041,669.3499150867798,886.8655058800847,17870.70025197664,4,1,9,6,1
531 pasir ris drive 1,1.371362,103.950398,8,pasir ris,162.99727890506452,open,162.99727890506452,2944.575289968549,MHC,HDB,144,700.1454918773976,481.8961886801871,769.7411666227256,14734.141704130272,5,0,6,5,2
848 tampines street 82,1.352476,103.936057,12,tampines,806.0119728704935,open,806.0119728704935,1235.6897814061533,MHC,HDB,144,357.65962454548924,272.36135749225326,495.57018106586025,12165.203348896783,3,1,6,5,3
425 pasir ris drive 6,1.36957,103.954864,11,pasir ris,687.4960999969231,open,687.4960999969231,2907.944099766038,MHC,HDB,144,399.6996261101094,403.29975282663275,710.303960182804,14982.39285978201,5,0,5,6,2
622A punggol central,1.399928,103.911047,18,punggol,879.9431067799046,planned,879.9431067799046,5304.033395784067,MHC,HDB,186,265.7214538432333,311.4978214432223,397.067334358001,14538.864472060952,5,0,9,5,3
498M tampines street 45,1.36189,103.957741,10,tampines,598.7478147477176,planned,694.8940752070733,2337.7177052641487,MHC,HDB,144,538.0499177708323,218.1461423297524,540.5657147205769,14711.173093643521,5,0,8,9,2
36 eunos crescent,1.321172,103.901773,19,geylang,214.696231465934,open,214.696231465934,291.561153328124,MHC,HDB,110,820.7786997060649,696.536073852789,1771.5177028337523,7026.2707305970325,7,4,3,4,0
636 veerasamy road,1.306307,103.855387,8,rochor,83.92306026004705,open,83.92306026004705,202.7075307215279,HC,Government,66,844.858680127381,317.23969188965907,420.87294952086444,2616.998340930204,18,6,1,4,12
9 pine close,1.309469,103.882438,12,geylang,340.6404420104065,open,340.6404420104065,293.48096473935993,MHC,Government,94,679.5130330253543,565.7481020341799,1013.2971763844533,4535.976763060185,8,6,2,7,2
444 tampines street 42,1.358341,103.95138,12,tampines,430.0195783295985,open,430.0195783295985,1618.838195166147,MHC,HDB,144,283.22130328073763,528.4801312797237,686.103524622914,13908.835689225856,4,0,7,8,5
623 bedok reservoir road,1.333658,103.916805,12,bedok,320.8075496662234,open,320.8075496662234,306.929130352713,MHC,HDB,111,535.4102809218828,1200.5775735452555,1700.9868329454034,9193.600725980867,3,2,2,1,0
9 toh yi drive,1.338305,103.773542,13,bukit timah,401.5917091331922,open,401.5917091331922,326.9416092534351,MHC,Government,179,286.67111662477055,2510.3007035874066,2442.1840811335496,10596.436960864301,4,1,2,0,0
49 teban gardens road,1.320989,103.738181,4,jurong east,697.8938790596613,planned,1437.1154857542317,508.56209849900335,MHC,HDB,80,1741.4854445757358,852.9308518846245,1474.0720928829019,13271.44358902837,6,1,0,1,1
214 bishan street 23,1.357512,103.848303,11,bishan,707.7977839916306,open,707.7977839916306,729.2730761123291,MHC,HDB,118,571.5173707714533,490.5573146597721,779.1138448743467,8245.90270333738,6,6,4,7,2
257 kim keat avenue,1.332607,103.857271,13,toa payoh,1087.5748712155273,open,1087.5748712155273,308.39072603069854,MHC,HDB,120,559.473154919522,599.292356962748,1133.1484887770862,5525.391718883487,3,7,6,5,1
158B rivervale crescent,1.388413,103.906676,18,sengkang,1306.276533518591,planned,1306.276533518591,3972.8810732897687,MHC,HDB,186,414.40518647580944,596.5980683086043,957.8175741060392,13184.941534634821,4,0,9,6,2
105 potong pasir avenue 1,1.334424,103.868697,16,toa payoh,370.04991874720406,open,370.04991874720406,1305.6213153785293,MHC,HDB,120,519.9259913169566,494.2996661321225,1851.195649499317,6006.784439386227,3,2,5,4,0
250 jurong east street 24,1.342653,103.739977,12,jurong east,322.2509002213933,planned,832.28082944343,265.7323365737562,MHC,HDB,147,126.72103365937987,299.5124940677441,989.2861412731348,14035.69748590625,8,2,4,3,4
902 jurong west street 91,1.339116,103.68661,13,jurong west,1004.9330640429152,planned,1192.6333482308835,2991.999715659709,MHC,HDB,166,129.50451173020338,89.20324455573503,1209.7814663092386,19350.29534162339,4,0,4,1,1
111 clementi street 13,1.323216,103.771126,13,clementi,859.8715379949863,planned,1092.7491995831078,978.4658907187373,MHC,HDB,77,869.5879811890442,1182.0657608956449,1184.4204768058462,9969.360931417064,3,2,3,2,1
820 tampines street 81,1.34793,103.93612,4,tampines,359.94972250457,open,359.94972250457,988.2665394455174,MHC,HDB,144,188.85006424406345,259.68178053437634,781.428932514688,11859.762177184584,4,1,5,5,3
302B anchorvale link,1.387862,103.890705,15,sengkang,620.0650095459144,open,620.0650095459144,3223.9281021054285,MHC,HDB,186,458.32751977638156,129.42967133020326,671.4431556510182,12396.685024702367,3,0,10,7,1
123 teck whye lane,1.379196,103.749458,11,choa chu kang,850.4325540157713,open,850.4325540157713,4158.25991876881,MHC,HDB,147,447.2733783566796,777.185336896192,1198.5473548864716,15543.533757234161,7,0,5,2,1
550 serangoon north avenue 3,1.37271,103.870605,16,serangoon,410.6580336215614,planned,2110.944447434592,1041.4300632480335,HC,Government,36,489.74137481262585,402.60106043543027,2163.4657290479254,10149.666151531597,2,2,4,5,0
591A montreal link,1.450756,103.826237,15,sembawang,703.5879028442996,open,703.5879028442996,2150.2828630274453,MHC,HDB,179,456.21256070554404,1206.1664569024383,801.2117787001001,18758.132051968252,2,0,5,2,3
374 hougang street 31,1.362869,103.889828,18,hougang,608.9113616059192,open,608.9113616059192,592.8509557003977,MHC,HDB,186,553.1288898449785,635.2402650603857,635.9265894302555,9817.358839635435,4,2,5,6,2
451 hougang avenue 10,1.378837,103.895916,13,hougang,539.6331071697904,open,539.6331071697904,2444.3769397577103,MHC,HDB,186,155.77599631840013,443.8651962298968,740.6026000922845,11702.738331263665,5,0,9,7,2
238 bishan street 22,1.359761,103.844643,13,bishan,650.992635516676,planned,1040.9023286409397,625.5860583749657,MHC,HDB,118,595.9507427184184,557.6743363439842,1123.7782152759885,8520.10874794228,9,6,5,5,2
4 delta avenue,1.291829,103.826546,16,bukit merah,637.235944164026,open,637.235944164026,343.48321191666423,MHC,Government,94,242.31183684753591,1015.301753992005,596.0765475261089,2922.7782025819088,7,9,4,4,5
638 bedok reservoir road,1.331445,103.904435,15,bedok,518.7879148610547,open,518.7879148610547,1095.6264822772698,MHC,HDB,111,470.6844304201404,533.2818439531841,2860.2044417855454,7978.970455754569,4,2,2,1,0
275A compassvale link,1.382874,103.894604,15,sengkang,172.59945821315017,open,172.59945821315017,2797.33757781666,MHC,HDB,186,151.23747779696035,545.4385029783826,1016.2969626778897,12049.298757576998,5,0,12,8,2
103 jurong east street 13,1.336687,103.738059,25,jurong east,593.4545471938338,open,593.4545471938338,752.8678124261672,MHC,HDB,147,219.4658721371411,874.3799920540315,593.8084641874249,13930.836977132692,8,2,4,2,3
291 bishan street 24,1.35591,103.845158,30,bishan,637.5252497198202,open,637.5252497198202,969.1875499264288,MHC,HDB,118,198.47696977892892,134.97817202859807,721.8473166128349,8090.938913242503,7,5,5,7,1
334 tampines street 32,1.35239,103.961042,10,tampines,830.7971013223602,open,830.7971013223602,1984.5492494771995,MHC,HDB,144,77.78718976299437,426.3964774751452,957.8067305580429,14423.394031835389,3,0,5,5,3
305D punggol drive,1.405832,103.906791,16,punggol,481.4423300994773,open,481.4423300994773,5660.869472200635,MHC,HDB,186,197.13137039570012,496.93977291114766,540.146419489378,14920.176578455055,4,0,11,5,3
376 clementi avenue 4,1.3181,103.766693,12,clementi,348.7943276628339,open,348.7943276628339,581.3845947553863,MHC,HDB,143,233.28236372959057,592.0627768435548,435.12876266750135,10184.525231491221,4,4,4,5,1
261 toa payoh east,1.333504,103.855238,36,toa payoh,864.8922594474094,open,864.8922594474094,285.99886179059854,MHC,HDB,120,429.67375197526417,431.87634695859845,909.400669886071,5601.643223432245,2,8,6,7,1
873 woodlands street 81,1.443295,103.789747,12,woodlands,767.7239273006484,open,767.7239273006484,1419.862051269405,MHC,HDB,164,209.51594659619627,290.596179710587,923.6801664361134,19002.256382827505,5,1,8,3,1
230G tampines street 21,1.356167,103.9503,12,tampines,492.7296595566272,open,492.7296595566272,1350.1337951237697,MHC,HDB,144,165.93235898509425,261.06725837945186,496.2538400555437,13669.1387934403,4,1,6,8,4
721 jurong west avenue 5,1.343993,103.697596,12,jurong west,482.61780205005704,planned,710.59078402174,1697.6157748081537,MHC,HDB,166,212.0648823218025,498.21978379559687,258.7107132954656,18387.314606751133,7,0,7,5,3
52 commonwealth drive,1.301903,103.797243,20,queenstown,131.10836006092208,open,131.10836006092208,160.05074459143452,MHC,Government,117,404.65292250903286,582.8449128955083,961.5208556858935,6368.838401770884,6,7,3,2,2
308A punggol walk,1.407761,103.900999,18,punggol,321.3789259018468,open,321.3789259018468,5633.529255704171,MHC,HDB,186,236.98891762003674,533.552920516918,174.5322689621338,14862.88707454614,4,0,7,4,2
233 pending road,1.376526,103.77168,13,bukit panjang,1132.0942483998765,open,1132.0942483998765,4155.574756928975,MHC,Government,179,410.9900784098989,860.9107743335269,1348.6669871493586,13618.535900298624,3,0,6,3,1
127 hougang avenue 1,1.352917,103.88568,4,hougang,817.4522488778773,open,817.4522488778773,511.742303116515,MHC,HDB,171,388.90823826167355,224.34070836532467,734.7799870894601,8626.054545668045,4,2,4,5,1
301 ang mo kio avenue 3,1.367421,103.845904,12,ang mo kio,328.09481556229144,planned,487.9852650434616,449.42379140197033,MHC,HDB,118,597.7501951914842,417.32210164685057,359.73783727160117,9354.137207263362,6,8,7,8,1
